Year	SSS_citing_SCI	SCI_citing_SSS
1985.0	0.08605042016806722	0.29246594618935046
1986.0	0.1091273432449903	0.2947451484685527
1987.0	0.11775479422538246	0.2773209060443103
1988.0	0.11932342167636285	0.25930848368406184
1989.0	0.1156604180133592	0.26139181701739517
1990.0	0.09761530523140433	0.24699465389682781
1991.0	0.10453838215448123	0.24378952569169962
1992.0	0.06924426450742241	0.2535471014492754
1993.0	0.07591093117408906	0.2530131578947369
1994.0	0.08405572755417957	0.23253901996370238
1995.0	0.10352941176470587	0.2358723532970357
1996.0	0.08262032085561495	0.2112739597227385
1997.0	0.10989304812834222	0.1930397254885042
1998.0	0.08989304812834223	0.19590664889458037
1999.0	0.06636363636363633	0.17234988794921038
2000.0	0.036363636363636334	0.1640572050223811
2001.0	0.03496503496503493	0.1598677198087995
2002.0	0.017692307692307663	0.16839914279805382
2003.0	0.017692307692307663	0.1491579503861297
2004.0	0.017692307692307663	0.16397373298346443
2005.0	0.04846153846153843	0.1506337628490692
2006.0	0.04076923076923074	0.14256481837072874
2007.0	0.030769230769230736	0.12330638930563113
2008.0	0.037435897435897404	0.11683219857947189
2009.0	0.04484330484330481	0.09975720790667
2010.0	0.0407407407407407	0.1109862735239483
2011.0	0.0407407407407407	0.1119396699988903
2012.0	0.0407407407407407	0.106107259515317
2013.0	0.04870822041553745	0.1112427621558002
2014.0	0.053065518890482985	0.11777695194790853
2015.0	0.03750996333492744	0.1091717930361696
2016.0	0.05372617955114365	0.11041052554736797
2017.0	0.05372617955114365	0.11845055315261295
2018.0	0.045342033209680235	0.11909676405855969
2019.0	0.04936680101153781	0.11232490344054522
